005B,https://cdnjs.cloudflare.com/ajax/libs/twemoji/14.0.0/72x72/005b.png,[,여는 대괄호|괄호 |대괄호
005D,https://cdnjs.cloudflare.com/ajax/libs/twemoji/14.0.0/72x72/005d.png,],닫는 대괄호|괄호 |대괄호
007B,https://cdnjs.cloudflare.com/ajax/libs/twemoji/14.0.0/72x72/007b.png,{,여는 중괄호|괄호 |중괄호
007D,https://cdnjs.cloudflare.com/ajax/libs/twemoji/14.0.0/72x72/007d.png,},닫는 중괄호|괄호 |중괄호
3008,https://cdnjs.cloudflare.com/ajax/libs/twemoji/14.0.0/72x72/3008.png,〈,여는 소괄호|꺽쇠괄호 |소괄호
3009,https://cdnjs.cloudflare.com/ajax/libs/twemoji/14.0.0/72x72/3009.png,〉,닫는 소괄호|꺽쇠괄호 |소괄호
300A,https://cdnjs.cloudflare.com/ajax/libs/twemoji/14.0.0/72x72/300a.png,《,여는 이중 소괄호|괄호 |이중 소괄호
300B,https://cdnjs.cloudflare.com/ajax/libs/twemoji/14.0.0/72x72/300b.png,》,닫는 이중 소괄호|괄호 |이중 소괄호
300C,https://cdnjs.cloudflare.com/ajax/libs/twemoji/14.0.0/72x72/300c.png,「,여는 낫표|낫표 |홑낫표
300D,https://cdnjs.cloudflare.com/ajax/libs/twemoji/14.0.0/72x72/300d.png,」,닫는 낫표|낫표 |홑낫표
300E,https://cdnjs.cloudflare.com/ajax/libs/twemoji/14.0.0/72x72/300e.png,『,여는 겹낫표|겹낫표 |낫표
300F,https://cdnjs.cloudflare.com/ajax/libs/twemoji/14.0.0/72x72/300f.png,』,닫는 겹낫표|겹낫표 |낫표
3010,https://cdnjs.cloudflare.com/ajax/libs/twemoji/14.0.0/72x72/3010.png,【,여는 검은색 렌즈 괄호|검은색 렌즈 괄호 |괄호
3011,https://cdnjs.cloudflare.com/ajax/libs/twemoji/14.0.0/72x72/3011.png,】,닫는 검은색 렌즈 괄호|검은색 렌즈 괄호 |괄호
3014,https://cdnjs.cloudflare.com/ajax/libs/twemoji/14.0.0/72x72/3014.png,〔,여는 거북등괄호|거북등괄호 |괄호
3015,https://cdnjs.cloudflare.com/ajax/libs/twemoji/14.0.0/72x72/3015.png,〕,닫는 거북등괄호|거북등괄호 |괄호
3016,https://cdnjs.cloudflare.com/ajax/libs/twemoji/14.0.0/72x72/3016.png,〖,여는 흰색 렌즈 괄호|괄호 |흰색 렌즈 괄호
3017,https://cdnjs.cloudflare.com/ajax/libs/twemoji/14.0.0/72x72/3017.png,〗,닫는 흰색 렌즈 괄호|괄호 |흰색 렌즈 괄호
00A7,https://cdnjs.cloudflare.com/ajax/libs/twemoji/14.0.0/72x72/00a7.png,§,단락|구분 |부분
00B6,https://cdnjs.cloudflare.com/ajax/libs/twemoji/14.0.0/72x72/00b6.png,¶,단락 기호|단락 |필크로
0040,https://cdnjs.cloudflare.com/ajax/libs/twemoji/14.0.0/72x72/0040.png,@,앳 기호|골뱅이표 |상업용 앳
